# CONCEPTICON
# Created by: QLC Research Group
# Created on: 2014-05-08 10:17

OMEGAWIKI	SEEALSO	GLOSS	ALIAS	DEFINITION	POS	WOLD
1510416	-	BARN OWL	-	An owl commonly found in barns and other farm buildings; often having a white face.	Noun	3.99908
1501251	-	BARREL	-	Container for liquids.	Noun	9.99901
1511024	-	BARTER	-	To exchange goods without involving money.	Verb	11.83
6368	-	BASKET	-	A lightweight container, generally round, open at the top, and tapering toward the bottom.	Noun	9.76
1510968	-	BASKETRY	-	The process of weaving unspun vegetable fibers to make a basket.	Noun	9.99902
7344	-	BAT	-	A small, nocturnal, flying mammal of the order Chiroptera, which navigates by means of echolocation. It looks like a mouse with membranous wings extending from the forelimbs to the hind limbs or tail.	Noun	3.591
1295154	850562	BATHE	-	To clean oneself by immersion in water.	Verb	4.69
318	-	BATTERY	-	A cell or several cells connected together, each cell containing the essentials for producing voltaic electricity.	Noun	23.175
158617	-	BATTLE	-	An instance of combat in warfare between two or more parties wherein each group will seek to defeat the others.	Noun	20.13
1511102	-	BATTLE-AXE	-	An ancient military weapon.	Noun	20.222
320	-	BAY	-	An open, curving indentation made by the sea or a lake into a coastline.	Noun	1.34
6480	6478;6479;1378389	BE	-	To have existence.	Verb	24.01
6028	965540	BE ALIVE	-	To be alive; to have a life.	Verb	4.74
823950	-	BE ASHAMED	-	Feeling shame or guilt.	Verb	16.99907
474983	-	BE BORN	-	To start living.	Verb	4.72
6246	-	BE GLAD	HAPPY	Having a feeling of satisfaction, enjoyment or well-being, often arising from a positive situation or set of circumstances.		Verb	16.23;16.99908
8037	677105	BE HUNGRY	-	A need of food.	Verb	5.14
955211	-	BE KNOWLEDGEABLE	-	Knowledgeable through having read extensively.	Verb	-
1539800	-	BE LATE	-	to be late	Verb	14.24
1103280	-	BE SILENT	-	To stop speaking or making noise.	Verb	18.23
8110	-	BE SORRY	REGRET	To wish that a past event had not happened.		Verb	16.34
