# CONCEPTICON
# Created by: QLC Research Group
# Created on: 2014-05-08 10:17

OMEGAWIKI	SEEALSO	GLOSS	ALIAS	DEFINITION	POS	WOLD
156785	-	LIFT	-	To cause an object to have a higher location than previously.	Verb	10.22
2158	-	LIGHT	-	Electromagnetic radiation that is capable of causing a visual sensation.&#10;(Source: CED)	Noun	1.61
1299599	-	LIGHT	-	To cause to undergo fire combustion.	Verb	1.86
1502678	-	LIGHT	-	(of color) having a relatively small amount of color components.	Adjective	15.62
452743	-	LIGHT	-	With a small mass, little weight or density; the opposite of heavy.	Adjective	15.82
6811	-	LIGHTNING	-	The flash of light caused by the discharge of atmospheric electrical charge.	Noun	1.55
1510905	-	LIMA BEANS	-	The butter bean, Phaseolus lunatus.	Noun	8.99926
1511001	-	LIMP	-	To walk lamely, as if favouring one leg.	Verb	10.451
451773	873185	LINE	-	An infinitely long, infinitely thin, not bent line in geometry.	Noun	12.84
389134	-	LINEN	-	A material made from the fibers of the flax plant.	Noun	6.23
5961	-	LION	-	A large cat (Panthera leo) that is native to Africa, Asia and formerly much of Europe.	Noun	3.72
154710	-	LIP	-	Either of the two fleshy protrusions around the opening of the mouth.	Noun	4.25
6576	-	LISTEN	-	To perceive with the ear (paying attention to what is heard).	Verb	15.42
478515	-	LIVE	-	To have permanent residence.	Verb	7.11
5476	-	LIVER	-	A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.	Noun	4.45
2183	-	LIVESTOCK	-	Cattle, horses, and similar animals kept for domestic use especially on a farm.	Noun	3.15
2189	-	LIZARD	-	Any reptile of the suborder Lacertilia, especially those of the family Lacertidae, typically having an elongated body, four limbs, and a small tail: includes the gechos, iguanas, chameleons, monitors, and slow worms.	Noun	3.96
1505710	-	LOAM	-	A rich soil consisting of a mixture of sand and clay and decaying organic materials.	Noun	1.99906
6546	-	LOCK	-	Something used for fastening, which can only be opened with a key or combination.	Noun	7.23
5438	-	LONG	-	Having much distance from one terminating point on an object or an area to another terminating point.	Adjective	12.57
1511039	-	LONG AGO	-	At a time in the past, especially the distant past.	Adverb	14.99902
7550	-	LOOK	-	To actively use one&#039;s eyes.	Verb	15.52
6142	-	LOOK FOR	-	To try to find something.	Verb	11.31
1511072	-	LOOK FORWARD	-	To anticipate or expect; especially, to expect something to be pleasant.	Verb	16.99911
7280	-	LOOM	-	A frame or machine (made of wood or other material) in which a weaver forms cloth out of thread; a machine for interweaving yarn or threads into a fabric.	Noun	6.34
853143	-	LOOSEN	-	To make undone or untied ; to free from any fastening.	Verb	-
6832	-	LOSE	-	To be beaten or to fail to win in an event.	Verb	11.33
1511054	-	LOUD	-	A sound of great intensity; noisy.	Adjective	15.45
5980	-	LOUSE	-	A small wingless parasitic insect of the order Phthiraptera that lives on humans, other mammals and birds.	Noun	3.99924
395193	-	LOVE	-	To have an intense feeling of affection and care towards another person.	Verb	16.27
874445	-	LOVER	-	A sexual partner.	Noun	2.99908
336887	-	LOW	-	In a position comparatively close to the ground.	Adjective	12.32
440739	-	LOW TIDE	-	Hauteur minimale de la mer dans un cycle de mar\xc3\xa9e. Ce cycle dure normalement 12 heures.	Noun	1.353
343542	-	LUNCH	-	Meal usually eaten at midday.	Noun	5.43
334158	-	LUNG	-	A biological organ that extracts oxygen from the air.	Noun	4.441
1510909	-	LUPIN	-	The common name for members of the genus Lupinus in the family Fabaceae.	Noun	8.99927
1309356	-	MACHINE	-	A device able to perform a particular, more or less complex, job.	Noun	23.19
833779	1067624	MAD	-	Mentally ill.	Adjective	17.23
8426	-	MADAGASCAR	-	An island country in the Indian Ocean off the southeastern coast of Africa	Noun	19.99908
1511137	-	MAGIC	-	The use of rituals or actions, especially based on supernatural or occult knowledge, to manipulate or obtain information about the natural world, especially when seen as falling outside the realm of religion; also the forces allegedly drawn on for such practices. A specific ritual or procedure associated with supernatural magic or with mysticism; a spell.	Noun	22.42
1366616	-	MAIL	POST	A batch of letters and parcels received via post.		Noun	23.4
1364993	1373397	MAINLAND	-	A large and continuous mass of land representing most of a region or a country but excluding outlying islands.	Noun	1.26
339200	-	MAKE	-	To create something by combining or assembling materials or parts or by changing it.	Verb	9.111
6396	-	MALE	-	Of, relating to, or denoting a member of the sex that begets young by fertilizing ova.	Adjective	2.23
6395	-	MALE	-	A member of the sex that begets young by fertilizing ova.	Adjective	3.12
6397	-	MAN	-	An adult human member of the sex that begets young by fertilizing ova.	Noun	2.21
395778	-	MANGO	-	The fruit of the mango tree.	Noun	8.9993
1510912	-	MANGROVE	-	Any of various tropical evergreen trees or shrubs that grow in shallow coastal water; Plants of the Rhizophoraceae family and/or of the genus Rhizophora.	Noun	8.99931
395809	-	MANIOC	-	Shrub (Manihot esculenta) whose roots are rich in starch	Noun	8.92
1526633	-	MANIOC BREAD	-	Bread made of the roots of the cassava plant.	Noun	5.983
155620	-	MANNER	-	Way of performing or effecting anything.	Noun	17.49
5423	-	MANY	-	An indefinite large number of.	Function word	13.15
400028	-	MARE	-	An adult female horse.	Noun	3.44
2276	-	MARKET	-	Place of commercial activity in which articles are bought and sold.	Noun	11.85
1539796	-	MARRIED MAN	-	A married man	Noun	2.38
1539812	-	MARRIED WOMAN	-	a married woman	Noun	2.39
7679	-	MARROW	-	Any of various squash plants grown for their elongated fruit with smooth dark green skin and whitish flesh.	Noun	-
1411401	8234;8236	MARRY	-	To enter marriage; to take a husband or a wife.	Verb	2.33
372205	-	MASON	-	A craftsman who builds in stone or brick otherwise known as masonry.	Noun	7.61
1393299	-	MAST	-	Post of wood or steel, long, round and straight, standing on a ship, intended to carry the sails, flags, floodlights, or communications equipment.	Noun	10.87
1511091	-	MASTER	-	Someone who has control over something or someone; the owner of an animal or slave or someone who employs others.	Noun	19.41
1405241	-	MAT	-	A flat object laid on the floor to protect a person from the hard floor.	Noun	9.77
499237	-	MATCH	-	A stick with inflammable substance on one end that can be set on fire by friction.	Noun	1.87
1006515	-	MATE	-	A ship&#039;s officer, subordinate to the master on a commercial ship.	Noun	19.99944
1188104	-	MATTRESS	-	A pad on which a person can recline and sleep.	Noun	23.53
403676	-	MEAD	-	Wine made of honey.	Noun	5.91
6332	-	MEAL	-	Food that is prepared and eaten, usually at a specific time.	Noun	5.41
626882	-	MEASURE	-	To ascertain the quantity of a unit of material via calculated comparison with respect to a standard.	Verb	12.54
2300	-	MEAT	-	The edible flesh of animals, especially that of mammals.	Noun	5.61
5919	-	MEDICINE	-	A substance which specifically promotes healing.	Noun	4.88
1510584	-	MEETING HOUSE	-	A building where people meet for a purpose.	Noun	7.18
157304	-	MELON	-	A fruit of any of the species from the family Cucurbitaceae that has relatively hard inedible shells and plenty of sweet flesh. The fruits may vary in size but is usually not smaller than one decimeter in diameter.	Noun	8.99932
512864	512896	MELT	-	To liquefy by applying heat.	Verb	1.99912
1526639	-	MEN'S HOUSE	-	A separate building for male persons.	Noun	7.16
470229	-	MERCHANT	-	A businessperson engaged in trade.	Noun	11.84
2313	-	METABOLISM	-	All the chemical reactions that take place in a living organism, comprising both anabolism and catabolism.	Noun	4.99908
1026415	-	MIDDAY	-	Time of day when the sun is in its zenith.	Noun	14.45
475332	-	MIDDLE	-	Being in the midway between the ends.	Noun	12.37
2358	-	MILK	-	The whitish fluid secreted by the mammary gland for the nourishment of the young; composed of carbohydrates, proteins, fats, mineral salts, vitamins, and antibodies.	Noun	5.86
1166811	-	MILK	-	To draw milk from (a mammal, especially a cow).	Verb	5.87
2359	-	MILL	-	A building where grain is crushed into flour.	Noun	5.57
397763	-	MILLET	-	A group of small-seeded species of cereal crops, widely grown around the world for food and fodder.	Noun	8.911
6418	-	MIND	-	The ability for rational thought.	Noun	17.11
155405	-	MINISTER	-	A person appointed to a high office in the government.	Noun	23.32
520838	7472	MIRROR	-	A smooth surface, usually made of glass with reflective material painted on the underside, that reflects light so as to give an image of what is in front of it.	Noun	6.96
1337987	-	MISS	-	To fail to hit (a target, a bell, etc.).	Verb	20.63
5651	-	MISTAKE	-	A mistake, an oversight, a slight; usually apologetic, referring to one&#039;s own failures.	Noun	16.77
1510518	-	MOCHI	-	A Japanese rice cake made from glutinous rice.	Noun	5.99914
451991	-	MOLAR TOOTH	-	A tooth located in the back of the mouth used for crushing and grinding food.	Noun	4.272
1507122	-	MOLD	MOULD	To create something, usually for a specific function.		Verb	9.72
8385	-	MOLE	-	Mammif\xc3\xa8re insectivore, noir, qui vit sous terre dans des galeries qu&#039;il creuse avec ses pattes.	Noun	3.99929
6992	-	MONDAY	-	The first day of the week in Europe and in systems using the ISO 8601 norm; the second day of the week in the United States of America.	Noun	14.63
6408	-	MONEY	-	An unspecified amount in a currency.	Noun	11.43
5870	-	MONKEY	-	A primate from the group &quot;New World monkeys&quot; or &quot;Old World monkeys&quot; (Simiiformes, excluding the superfamily Hominoidea or apes) that lives mainly in rainforests and is distinguished from an Ape by its smaller size and its tail.	Noun	3.76
5914	-	MONTH	-	A period into which a year is divided, historically based on the phases of the moon. In the Gregorian calendar there are twelve months.	Noun	14.71
1463209	-	MOOD	-	A mental or emotional state.	Noun	16.99905
5729	-	MOON	-	A natural satellite of a planet.	Noun	1.53
950694	1379482	MORE	-	[Used in forming the comparative form of many adjectives and almost all comparable adverbs.]	Function word	13.16
5840	1452308	MORNING	-	The period of time from the start of the day (midnight) until midday (12:00).	Noun	14.44
1454028	-	MORTAR	-	A bowl used to crush and grind ingredients with a pestle.	Noun	5.58
703845	-	MORTAR	-	Paste made of a mixture of a binder (cement, plaster or lime), sand and water used in masonry to make bricks, stones, etc. stick together.	Noun	7.63
6563	-	MOSQUE	-	A place of worship for followers of the Islamic faith.	Noun	22.132
630453	-	MOSQUITO	-	A small flying insect (of the family Culicidae) known for biting and sucking blood.	Noun	3.832
1510596	-	MOSQUITO NET	-	A fine net placed around a bed to protect the occupant against mosquitos and the diseases carried by them	Noun	7.99905
5463	-	MOTHER	-	A woman who has at least one child.	Noun	2.36
936024	-	MOTHER'S BROTHER	-	The brother of someone\xe2\x80\x99s mother.	Noun	2.511
1372595	-	MOTHER'S SISTER	-	The sister of one&#039;s mother.	Noun	2.521
452350	-	MOTHER-IN-LAW	-	The mother of someone&#039;s spouse.		Noun	2.62;2.621;2.99909
1200	-	MOTOR	-	A machine in which power is applied to do work by the conversion of various forms of energy into mechanical force and motion.	Noun	23.185
2414	-	MOTORCYCLE	-	Single-track, two-wheeled motor vehicle.	Noun	23.135
2421	-	MOUNTAIN	-	A feature of the earth&#039;s surface that rises high above the base and has generally steep slopes and a relatively small summit area.	Noun	1.22
6237	-	MOUSE	-	Any of numerous small rodents of the genus &#039;&#039;mus&#039;&#039; or various related genera of the &#039;&#039;Murid\xc3\xa6&#039;&#039; family characterised by a long hairless tail, rounded ears, and a pointed nose.	Noun	3.63
332000	161654	MOUTH	-	Opening in the lower half of a human face which is used for food ingestion and articulation.	Noun	4.24
343359	-	MOVE	-	To change the location of an object.	Verb	10.11
1403529	-	MOW	-	To cut all [the grass, crop or any thin plants] of a surface area of the ground.	Verb	8.32
2428	-	MUD	-	A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments.&#10;(Source: WHIT)	Noun	1.214
377499	-	MULE	-	The offspring of a male donkey and a female horse.	Noun	3.47
1258410	-	MUMBLE	-	To speak unintelligibly and without articulating.	Verb	18.16
359371	-	MURDER	-	The intentional or premeditated killing of another person.	Noun	21.42
2444	-	MUSHROOM	-	An organism belonging to a family of Basidiomycetes that are characterized by the production of spores on gills.	Noun	8.98
2445	-	MUSIC	-	The artistic organisation of sounds or tones that expresses ideas and emotions through the elements of rhythm, melody, harmony and tonal colour.	Noun	23.63
799106	-	MUSLIM	-	An adherent of the religion of Islam.	Noun	22.99909
1510526	-	MUSUBI	-	A food made of a food such as meat tied to a block of rice with nori, differing from sushi in that the rice is not vinegared.	Noun	5.99916
6856	-	MUTE	-	Not making a sound.	Adjective	4.96
156863	-	NAIL	-	A spike-shaped metal fastener used for joining wood or similar materials.	Noun	9.5
160368	-	NAKED	-	Without clothing.	Adjective	4.99
5995	-	NAME	-	Any word or phrase which designates a particular person, place, class or thing.	Noun	18.28
5862	-	NAPE OF THE NECK	-	The back part of the neck.	Noun	4.281
5566	-	NARROW	-	Having a small width.	Adjective	12.62
1417428	-	NASAL MUCUS	SNOT	Mucus from the nose.		Noun	4.232
1162698	-	NATIVE COUNTRY	-	One\xe2\x80\x99s country of birth.	Noun	19.12
7690	-	NAVEL	-	A scar where the umbilical cord was attached.	Noun	4.43
869106	-	NEAR	-	Not far distant in time or space or degree or circumstances.	Adverb	12.43
1538973	-	NECESSITY	-	Something that needs to be done.	Noun	17.45
5823	-	NECK	-	The part of the body (found in some animals, including humans) that connects the head and the trunk.	Noun	4.28
900585	-	NECKLACE	-	An article of jewelry that is worn around the neck.	Noun	6.75
2497	447380	NEED	-	The fact or an instance of feeling the lack of something.	Noun	17.45
5951	337519	NEEDLE	-	A thin, sharp implement used in sewing, knitting and acupuncture.	Noun	6.36
1506160	-	NEEDLE	-	A needle of coniferous tree	Noun	8.993
5820	-	NEIGHBOUR	-	A person living in a house that is adjacent or nearby another person&#039;s house.	Noun	19.54
340905	333981	NEITHER	-	To not do or be something in a similar manner.	Function word	24.99908
454945	-	NEPHEW	-	A child of someone&#039;s brother or sister.	Noun	2.53
957309	-	NEST	-	To build or settle into a nest.	Noun	3.58
1507431	-	NETBAG	-	Bag made of net used to carry things	Noun	9.78
1072992	-	NETTLE	-	The common name for between 30-45 species of flowering plants with a cosmopolitan though mainly temperate distribution. They are mostly herbaceous perennial plants, but some are annual and a few are shrubby.	Noun	8.97
6814	-	NEVER	-	At no time.	Function word	14.34
5484	-	NEW	-	Recently made, created or begun.	Adjective	14.13
403368	-	NEW YEAR	-	The first day of a calendar year, in particular, January 1 in the Julian and Gregorian calendar.	Noun	14.99903
5668	-	NEWSPAPER	-	A publication (usually published daily or weekly and printed on cheap, low-quality paper) that contains news and other articles.	Noun	23.6
5875	-	NEXT	-	Following in a sequence.	Function word	24.12
6735	-	NIECE	-	A daughter of someone\xe2\x80\x99s brother or sister.	Noun	2.54
5486	-	NIGHT	-	The period between sunset and sunrise, when a location faces far away from the sun, thus when the sky is dark.	Noun	14.42
6193	6208	NINE	-	The ninth natural number (9).	Function word	13.09
348030	-	NIPPLE	-	The projection of a mammary gland from which, on female mammals, milk can be secreted.	Noun	4.412
1505748	-	NIT	-	An egg of a louse that is sometimes found in people&#039;s hair.	Noun	3.812
5568	5576	NO	-	A word used to show disagreement of something.	Function word	17.56
154801	-	NOBLE	-	Someone of aristocratic blood.	Noun	19.36
5290	1251677	NOISE	-	Sound which is unwanted, either because of its effects on humans, its effect on fatigue or malfunction of physical equipment, or its interference with the perception or detection of other sounds.	Noun	15.44
1468363	-	NOR	-	Coordinating link with negative value, usually preceded by another negation.	Function word	24.99909
6550	-	NORTH	-	One of the four major compass points, specifically 0\xc2\xb0, directed toward the North Pole, and conventionally upwards on a map.	Noun	12.47
5471	-	NOSE	-	The organ of the face used to breath and smell.	Noun	4.23
527874	-	NOSTRIL	-	Either of the two orifices located on the nose (or on the beak of a bird); used as a passage for air and other gases to travel the nasal passages.	Noun	4.231
5495	-	NOT	-	Negates the meaning of the modified verb.	Function word	24.06
333997	6437;6406	NOTHING	-	Not any thing.	Function word	24.14
5936	1379722	NOW	-	At present; at this time.	Function word	14.18
5877	-	NUMBER	-	An abstract entity used to describe quantity.	Noun	23.39
479578	-	NURSE	-	A person trained to provide care for the sick.	Noun	23.21
1403728	-	NUT	-	A hard-shelled seed.	Noun	5.77
2597	-	OAK	-	Any tree of the genus Quercus in the order Fagales, characterized by simple, usually lobed leaves, scaly winter buds, a star-shaped pith, and its fruit, the acorn, which is a nut; the wood is tough, hard, and durable, generally having a distinct pattern.	Noun	8.61
1478129	-	OAR	PADDLE	A tool used for pushing against liquid, generally for the propulsion of a boat.		Noun	10.85;10.851
701390	-	OATH	-	Promise or solemn declaration in front of an authority, another person or to oneself.	Noun	21.25
1111216	-	OATS	-	A species of grass (Avena sativa) grown for its seed.	Noun	8.46
6686	992545	OBEY	-	To do as you are told.	Verb	19.46
7140	-	OBSCURE	-	Known vaguely or incompletely, if at all.	Adjective	17.35
2608	-	OCEAN	-	The mass of water occupying all of the Earth&#039;s surface not occupied by land, but excluding all lakes and inland seas.	Noun	1.329
7834	-	OFTEN	-	Many times, with short intervals between occasions.	Function word	14.32
6195	-	OIL	-	Fat in a liquid form.	Noun	5.79
848858	-	OINTMENT	-	A semisolid preparation intended for external application to the skin or mucous membranes. (source: UMLS)	Noun	6.94
5482	-	OLD	-	Having lived or existed for a relatively long period of time.	Adjective	14.15
1526622	-	OLD MAN	-	A male person who is old of age.	Noun	2.461
385678	-	OLD WOMAN	-	An old woman.	Noun	2.471
7130	-	OLDER BROTHER	-	A male with more years of age than one or more of his siblings.	Noun	2.444
1526616	-	OLDER SIBLING	-	A person who is born before another person who has the same parents.	Noun	2.4561
7129	-	OLDER SISTER	-	A female with more years of age than one or more of her siblings.	Noun	2.454
512617	-	OLIVE	-	The small oval fruit of the olive tree, Olea europaea.	Noun	5.78
1192008	-	OMEN	-	A sign that is supposed to reveal whether the future will be favourable or not.	Noun	22.47
441581	1115125	ON PURPOSE	-	(doing or feeling something) in a deliberate or controlled way.	Adverb	17.99901
6244	5433	ONE	-	The cardinal number that directly follows zero and precedes two, represented in Roman numerals as I, and in Arabic numerals as 1.	Function word	13.01
343780	1285266	ONION	-	A plant of the genus Allium used as a vegetable and spice.	Noun	8.99935
6485	345294	ONLY	-	Nothing more than.	Function word	13.33
513017	-	OPEN	-	To make something accessible or removing an obstacle to something being accessible.	Verb	12.24
1510392	-	OPOSSUM	-	A mammal being a member of the family Didelphidae.	Noun	3.622
433943	-	OR	-	[Conjunction that indicates an alternative.]	Function word	17.54
5821	-	ORANGE	-	The slightly sour fruit of the orange tree  (citrus sinensis), usually orange in colour throughout, with a thick skin and pips.	Noun	8.99936
1384019	-	ORANGE	-	Having the colour of a ripe orange; a reddish-yellow.	Adjective	15.99903
493103	1506418	ORDER	-	To express as instruction to be executed by the receiver, in accordance with an authority acknowledged by him.	Verb	19.45
391992	-	ORNAMENT	-	An element of decoration.	Noun	6.71
509527	-	ORPHAN	-	A person one or both of whose parents have died, especially a minor.	Noun	2.75
1406403	6437;6406	OTHER	-	The rest of a group of.	Function word	24.11
1031630	-	OTTER	-	Any of several aquatic, furbearing, weasellike mammals of the genus Lutra , having webbed feet and a long, slightly flattened tail.	Noun	-
1527208	-	OUTRIGGER	-	A stabilizer for a canoe; spars attach to a shaped log or float parallel to the hull.	Noun	10.832
342558	-	OUTSIDE	-	In the open, not within a building.	Function word	12.06
5053	-	OVEN	-	An enclosed heated compartment usually lined with a refractory material used for drying substances, firing ceramics, heat-treating, etc.	Noun	5.25
1511021	-	OWE	-	To be under an obligation to give something back to someone or to perform some action for someone; to have debt.	Verb	11.63
339205	-	OWL	-	A solitary, mainly nocturnal bird of prey, belonging to the order Strigiformes; it has large forward-facing eyes and ears and a hawk-like beak, and it can turn its head 180 degrees around.	Noun	3.596
333811	-	OWN	-	To have rightful possession of property, goods or capital.	Verb	11.12
518788	-	OX	-	A castrated bull.	Noun	3.22
1510460	-	PACA	-	A large rodent, with dark brown or black fur, a white or yellowish underbelly and rows of white spots along its sides, native to Central America and South America.	Noun	3.9993
1506100	-	PADDY	-	Wet land in which rice is grown.	Noun	8.121
1510588	-	PADLOCK	-	A detachable lock that can be used to secure something by means of a sliding or hinged shackle	Noun	7.232
7257	-	PAIN	-	An unpleasant, usually localised physical sensation that is often the result of an injury, disease or other ailment.	Noun	16.31
496633	-	PAINFUL	-	Full of pain; causing uneasiness or distress, either physical or mental.	Adjective	-
2709	-	PAINT	-	A mixture of pigment and a vehicle, such as oil or water, that together form a liquid or paste that can be applied to a surface to provide an adherent coating that imparts colour, protects the surface and/or gives the surface different features.	Noun	9.88
959903	-	PAINT	-	To make a painting.	Verb	9.89
8187	-	PAIR	-	Two similar or identical things taken together.	Noun	13.37
529277	-	PALM OF THE HAND	-	The inner and somewhat concave part of the human hand that extends from the wrist to the bases of the fingers.	Noun	4.331
528656	-	PALM TREE	-	Any of various evergreen trees from the family Palmae or Arecaceae, which are mainly found in the tropics.	Noun	8.81
1071911	-	PAN	-	Cooking utensil relatively flat, having a handle, used to cook food such as meat, vegetables or eggs, usually in oil or butter.	Noun	5.28
2713	-	PAPER	-	Felted or matted sheets of cellulose fibers, formed on a fine-wire screen from a dilute water suspension, and bonded together as the water is removed and the sheet is dried.	Noun	18.56
157257	-	PARENTS	-	Father and mother of a child.	Noun	2.37
1510380	-	PARENTS-IN-LAW	-	Mother-in-law and father-in-law.	Noun	2.622
374495	-	PARROT	-	Any bird of the order Psittaciformes, many species of which are colourful and able to mimic human speech.	Noun	3.592
345219	870987	PART	-	A seperate unit of a larger whole.	Noun	13.23
335088	439360	PARTNER	-	Someone who is associated with another in a common activity or interest.	Noun	19.99928
664663	-	PARTRIDGE	-	(Perdix perdix)A resident bird which occurs in the major part of Europe.	Noun	3.99932
842597	-	PASS	-	To go through any inspection or test successfully.	Function word	10.99906
2725	-	PASTURE	-	Land covered with grass or herbage and grazed by or suitable for grazing by livestock.	Noun	3.16
4382	-	PATH	-	A route or track between one place to another.	Noun	10.72
336535	624824	PAY	-	To give money in exchange for goods or services.	Verb	11.65
726623	-	PEA	-	An annual plant originally from the Mediterranean basin and the Near East.	Noun	8.99937
5839	5838	PEACE	-	A state free of war, in particular war between different countries.	Noun	20.14
393831	-	PEAR	-	A fruit produced by the pear tree.	Noun	8.99938
1505825	-	PEEL	-	To remove the skin from food or vegetables.	Verb	5.46
1510964	-	PEG	-	A cylindrical wooden, metal etc. object used to fasten or as a bearing between objects.	Noun	9.91
347193	-	PEN	-	A utensil, usually tubular in form, containing ink used to write or make marks.	Noun	18.57
541549	-	PENALTY	-	Punitive sanction taken against someone who has broken the law.	Noun	21.37
5835	-	PENCIL	-	A common writing utensil (made of a graphite shaft surrounded by wood) that uses graphite (commonly referred to as lead) to make marks on paper.	Noun	9.99915
5473	-	PENIS	-	The male sexual organ for copulation and urination; the tubular portion of the male genitalia (excluding the scrotum).	Noun	4.492
345923	1137349	PEOPLE	-	A group of persons forming or belonging to a particular nation, class, ethnic group, country, family, etc.	Noun	19.21
5960	-	PEPPER	-	A spice prepared from the fermented, dried, unripe red berries of the pepper plant.	Noun	5.82
343420	-	PERIOD	-	A distinct time of history.	Noun	14.99905
7328	-	PERJURY	-	The deliberate giving of false or misleading testimony under oath.	Noun	21.47
431335	1504322	PERMIT	-	To approve a specific action.	Verb	19.47
333730	2234	PERSON	-	A human being.	Noun	2.1
1250941	-	PERSPIRE	SWEAT	To secrete sweat.		Verb	4.55
1454217	-	PESTLE	-	A heavy cylindrical object with a rounded end used for crushing and grinding.	Noun	5.59
2758	-	PET	-	An animal which is kept in the home as a companion and treated affectionately.	Noun	3.99933
2761	-	PETROLEUM	-	A comparatively volatile liquid bitumen composed principally of hydrocarbon, with traces of sulphur, nitrogen or oxygen compounds; can be removed from the earth in a liquid state.	Noun	23.195
161474	-	PHYSICIAN	-	A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.	Noun	4.87
1165666	-	PICK	-	To look for and gather.	Verb	8.99961
1511027	-	PICK UP	-	To lift; to grasp and raise; to collect.	Verb	12.212
160850	-	PIECE	-	One object of a set, undivided part of something broken.	Noun	13.231
1511162	-	PIERCE	-	to puncture; to break through	Verb	-
5836	-	PIG	-	A common, four-legged animal (Sus scrofa) that has cloven hooves, bristles and a nose adapted for digging and is farmed by humans for its meat.	Noun	3.35
646056	-	PILE UP	-	To get or gather together.	Verb	12.213
1511151	-	PILL	-	A small, usually cylindrical object designed for easy swallowing, usually containing some sort of medication.	Noun	23.22
447708	-	PILLOW	-	Cushion placed under the head for sleeping.	Noun	7.421
1116679	-	PIN	-	A small device, made (usually) of drawn-out steel wire with one end sharpened and the other flattened or rounded into a head, used for fastening.	Noun	6.63
1511058	-	PINCH	-	To squeeze a small amount of a person&#039;s skin and flesh, making it hurt.	Verb	15.712
706003	-	PINE	-	Evergreen coniferous tree of the genus Pinus.	Noun	8.64
984034	-	PINEAPPLE	-	Large sweet fleshy tropical fruit with a terminal tuft of stiff leaves.	Noun	8.99939
158482	-	PINK	-	Whose colour between red and white.	Adjective	15.99904
489864	-	PIPE	-	A device consisting of a mouthpiece, a long pipe stem and a pipe bowl, that is used to smoke tobacco.	Noun	8.691
1510464	-	PIRANHA	-	Any of the carnivorous freshwater fish living in South American rivers and belonging to the subfamily Serrasalminae.	Noun	3.99934
160433	-	PISS	-	To allow urine to flow from the bladder out of the body.	Verb	4.65
1238556	-	PITCHER	-	A container shaped like a vase with a handle and a spout used to serve liquids.	Noun	5.34
1510832	-	PITCHFORK	-	An agricultural tool comprising a fork attached to a long handle used for pitching hay or bales of hay high up onto a haystack.		Noun	8.26
503503	-	PITY	-	Deep awareness of the suffering of another, coupled with the wish to relieve it.	Noun	16.35
337267	-	PLACE	-	A position or area in a space.	Noun	12.11
440073	-	PLACE	-	To bring something in a specific place or in a specific position.	Verb	-
2813	-	PLAIN	-	An extensive, broad tract of level or rolling, almost treeless land with a shrubby vegetation, usually at a low elevation.	Noun	1.23
992256	-	PLAINTIFF	-	One who commences a legal process by a complaint.	Noun	21.21
1510567	1510570	PLAIT	-	A flat fold; a doubling, as of cloth; a pleat.	Noun	6.921
703135	-	PLAIT/BRAID	-	Comporre un intreccio con dei fili, delle stringhe e sim.	Verb	9.75
2836	1471369	PLANT	-	Any living organism that synthesizes its food from inorganic substances, possesses cellulose cell walls, responds slowly and often permanently to a stimulus, lacks specialized sense organs and nervous system, and has no powers of locomotion.	Noun	8.53
619975	-	PLANT	-	To put a plant in the ground so that it strikes root and grows.	Verb	8.531
1511168	-	PLANTAIN	-	A plant of the genus Plantago, with a rosette of sessile leaves about 10 cm long with a narrow part instead of a petiole, and with a spike inflorescence with the flower spacing varying widely among the species.	Noun	-
2840	-	PLASTIC	-	A polymeric material (usually organic) of large molecular weight which can be shaped by flow; usually refers to the final product with fillers, plasticizers, pigments, and stabilizers included (versus the resin, the homogeneous polymeric starting material); examples are polyvinyl chloride, polyethylene, and urea-formaldehyde.	Noun	23.57
154781	-	PLATE	-	A dish on which food is served or from which food is eaten.	Noun	5.32
6010	-	PLAY	-	To act in a manner such that one has fun; to engage in playful activities expressly for the purpose of recreation.	Verb	16.26
996296	-	PLOT	-	Agreement on a secret plot.	Noun	19.63
845139	-	PLOUGH	PLOW	To use a plough on to prepare for planting.		Verb	8.21
1510468	-	PLOVER	-	Any of various wading birds of the family Charadriidae.	Noun	3.99935
941830	-	PLUM	-	A fruit of the plum tree.	Noun	8.99941
7816	-	POCKET	-	A kind of pouch, which is accessible by an opening in an article of clothing and serves for storage; usually large enough in order to accommodate at least one hand.	Noun	6.61
1473788	-	POEM	-	A literary piece written in verse.	Noun	18.99904
448577	-	POET	-	A person who writes poems.	Noun	18.67
1511031	-	POINTED	-	Sharp, barbed; not dull.	Adjective	12.352
2847	-	POISON	-	A substance which, when ingested, inhaled, or absorbed, or when applied to, injected into, or developed within the body, in relatively small amounts, may cause injury, harm, or destruction to organs, tissue, or life.	Noun	4.89
1506095	-	POLE	-	A strong upright piece of wood, metal etc. that is fixed into the ground, especially to support something	Noun	7.56
2852	-	POLICE	-	Branch of the government which is charged with the preservation of public order, the promotion of public health and safety, and the prevention, detection, and punishment of crimes.	Noun	23.33
8202	-	POLICEMAN	-	A male police officer.	Noun	19.9993
158094	-	POMPOM	-	A decorative ball of fluff.	Noun	6.99906
