UK	UNIQUE_GLOSS	ENGLISH_GLOSS	LWT_KEY	LWT_GLOSS	PART_OF_SPEECH	SEMANTIC_FIELD	OMEGA_WIKI	EXAMPLE CONTEXT/EXPLANATION	ENGLISH_GLOSS	SPANISH_GLOSS	Alternative Omega Wiki Links	FRENCH_GLOSS	PORTUGUESE_GLOSS	GERMAN_TRANSLATION	RUSSIAN_GLOSS
1112	THE YOKE	yoke	10.78	the yoke	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:juk_(1031313)		yoke	<<yugo>>		<joug>	<jugo, canga>	<joch>	<ярмо>
1113	THE SLEDGE	sledge	10.79	the sledge/sled	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:sledge_(1511010)		sledge/sled	-		-	-	-	-
1114	THE SLED	sled	10.79	the sledge/sled	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:pulka_(1043216)		sledge/sled	-		-	-	-	-
1115	THE SHIP	ship	10.81	the ship	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:ship_(3403)		ship	<<buque, barco>>	http://www.omegawiki.org/DefinedMeaning:buque_(849230)	<navire, bateau>	<navio>	<schiff>	<корабль, судно>
1116	THE BOAT	boat	10.83	the boat	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:boat_(7774)		boat	<<bote>>		<bateau>	<bote, barco>	<boot (kahn; nachen)>	<лодка>
1117	THE CANOE	canoe	10.831	the canoe	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:canoe_(911657)		canoe	<<canoa>>		<canoe, pirogue>	<canoa>	<[kanu]>	<каноэ>
1118	THE OUTRIGGER	outrigger	10.832	the outrigger	Noun	Motion	http://www.omegawiki.org/Expression:outrigger		outrigger	<<batanga>>		<balancier>	<jangada>	<ausleger>	<шлюпка с выносными уключинами>
1119	THE RAFT	raft	10.84	the raft	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:radeau_(6853)		raft	<<balsa>>		<radeau>	<balsa>	<floss>	<плот>
1120	THE OAR	oar	10.85	the oar	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:paddle_(1478129)		oar	<<remo>>		<rame>	<remo>	<ruder>	<весло>
1121	THE PADDLE	paddle	10.851	the paddle	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:paddle_(1478129)		paddle	<<remo corto>>		<pagaie>	<remo>	<paddel>	<весло (байдарочный гребок)>
1122	TO ROW	row	10.852	to row	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:row_(7808)		to row	<<remar>>		<ramer>	<remar>	<rudern>	<грести>
1123	THE RUDDER	rudder	10.86	the rudder	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:rudder_(1192505)		rudder	<<timón>>		<gouvernail>	<leme>	<steuer-ruder>	<руль>
1124	THE MAST	mast	10.87	the mast	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:mast_(1393299)		mast	<<mástil>>		<mât>	<mastro>	<mast>	<мачта>
1125	THE SAIL	sail	10.88	the sail	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:field_(1425)		sail	<<vela>>		<voile>	<vela>	<segel>	<парус>
1126	THE ANCHOR	anchor	10.89	the anchor	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:anker_(806253)		anchor	<<ancla>>		<ancre>	<âncora>	<anker>	<якорь>
1127	THE PORT	port	10.91	the port	Noun	Motion	http://www.omegawiki.org/DefinedMeaning:harbour_(1717)		port	<<puerto>>		<port, mouillage>	<pôrto>	<hafen>	<гавань, пристань, порт>
1128	TO LAND	land	10.92	to land	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:land_(846608)		to land	<<desembarcar>>		<débarquer>	<desembarcar>	<landen>	<причаливать, приземляться>
1129	TO ACCOMPANY	accompany	10.99901	to accompany	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:acompañar_(638652)		to accompany	-		-	-	-	-
1130	TO CARRY ON THE BACK	carry on the back	10.99903	to carry on the back	Verb	Motion	?		to carry on back	-		-	-	-	-
1131	TO DIP	dip	10.99904	to dip	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:dip_(1511014)		to dip	-		-	-	-	-
1132	TO GIVE A RIDE	give a ride	10.99905	to give a ride	Verb	Motion	?		to give a ride	-		-	-	-	-
1133	PASS	pass	10.99906	to pass	Function word	Motion	http://www.omegawiki.org/DefinedMeaning:pass_(842597)		to pass	-		-	-	-	-
1134	TO STEP	step	10.99907	to step	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:step_(1511017)		to step	-		-	-	-	-
1135	TO WAIT	wait	10.99908	to wait	Verb	Motion	http://www.omegawiki.org/DefinedMeaning:wait_(6530)		to wait	-		-	-	-	-
1136	TO HAVE	have	11.11	to have	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:have_(344354)		to have	<<tener>>	http://www.omegawiki.org/DefinedMeaning:have_(467454)	<avoir>	<ter>	<haben>	<иметь>
1137	TO OWN	own	11.12	to own	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:own_(333811)		to own	<<poseer, tener>>		<posséder>	<possuir>	<be-sitzen>	<владеть>
1138	TO TAKE	take	11.13	to take	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:take_(7077)		to take	<<tomar, coger>>	http://www.omegawiki.org/DefinedMeaning:take_(7079)	<prendre>	<tomar>	<nehmen>	<брать>
1139	TO GRASP	grasp	11.14	to grasp	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:comprehend_(992756)		to grasp	<<agarrar, empuñar, coger, asir>>	http://www.omegawiki.org/DefinedMeaning:grasp_(1163227)	<saisir, attraper>	<agarrar>	<(er)greifen; fassen>	<хватать, схватить>
1140	TO HOLD	hold	11.15	to hold	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:hold_(6060)		to hold	<<tener (en mano), apoyar>>		<tenir>	<segurar, agarrar>	<halten>	<держать>
1141	TO GET	get	11.16	to get	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:arrive_(5965)		to get	<<obtener>>		<obtenir>	<obter, conseguir>	<kriegen; be-kommen>	<получать>
1142	TO KEEP	keep	11.17	to keep	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:keep_(6163)		to keep	<<conservar, retener>>		<garder, retenir>	<guardar, conservar>	<be-halten>	<хранить>
1143	THE THING	thing	11.18	the thing	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:thing_(339816)		thing	<<cosa>>		<chose>	<coisa>	<sache; ding>	<вещь>
1144	TO GIVE	give	11.21	to give	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:give_(6059)		to give	<<dar>>		<donner>	<dar>	<geben>	<давать>
1145	TO GIVE BACK	give back	11.22	to give back	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:rendre_(1160012)		to give back	<<devolver>>	http://www.omegawiki.org/DefinedMeaning:devolver_(522528)	<rendre>	<restituir, devolver>	<zurück-geben>	<возвращать>
1146	TO PRESERVE	preserve	11.24	to preserve	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:protect_(5818)		to preserve	<<conservar, proteger>>		<préserver>	<cuidar de, preservar>	<be-wahren>	<сохранять>
1147	TO RESCUE	rescue	11.25	to rescue	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:deliver_(963523)		to rescue	<<salvar>>		<sauver>	<salvar>	<retten>	<спасать>
1148	TO DESTROY	destroy	11.27	to destroy	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:destroy_(333618)		to destroy	<<destruir>>		<détruire>	<destruir>	<zer-stören; ver-nichten>	<разрушать>
1149	TO INJURE	injure	11.28	to injure	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:herir_(1092621)		to injure	<<dañar, herir>>		<blesser, endommager>	<danificar, ferir, estragar>	<be-schädigen; schaden>	<наносить ущерб>
1150	TO DAMAGE	damage	11.29	to damage	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:estropear_(485920)		to damage	-		-	-	-	-
1151	TO LOOK FOR	look for	11.31	to look for	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:buscar_(6142)		to look for	<<buscar>>		<chercher>	<buscar, procurar>	<suchen>	<искать>
1152	TO FIND	find	11.32	to find	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:find_(336790)		to find	<<encontrar, hallar>>		<trouver>	<achar, encontrar>	<finden>	<находить>
1153	TO LOSE	lose	11.33	to lose	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:lose_(6832)		to lose	<<perder>>		<perdre>	<perder>	<ver-lieren>	<терять>
1154	TO LET GO	let go	11.34	to let go	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:free_(476248)		to let go	<<soltar>>		<libérer>	<largar, soltar>	<ent-lassen; los-lassen>	<отпускать>
1155	THE MONEY	money	11.43	the money	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:money_(6408)		money	<<dinero>>		<argent>	<dinheiro>	<geld>	<деньги>
1156	THE COIN	coin	11.44	the coin	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:coin_(8052)		coin	<<moneda>>		<pièce de monnaie>	<moeda>	<münze>	<монета>
1157	RICH	rich	11.51	rich	Adjective	Possession	http://www.omegawiki.org/DefinedMeaning:rich_(336015)		rich	<<rico>>		<riche>	<rico>	<reich>	<богатый>
1158	POOR	poor	11.52	poor	Adjective	Possession	http://www.omegawiki.org/DefinedMeaning:arm_(6897)		poor	<<pobre>>		<pauvre>	<pobre>	<arm; (be)dürft-ig>	<бедный>
1159	THE BEGGAR	beggar	11.53	the beggar	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:mendigo_(853288)		beggar	<<mendigo>>		<mendiant>	<mendigo>	<bettler>	<попрошайка, нищий>
1160	STINGY	stingy	11.54	stingy	Adjective	Possession	http://www.omegawiki.org/DefinedMeaning:parsimonious_(719375)		stingy	<<avaro, mezquino>>		<avare, radin>	<avarento>	<habsücht-ig; geizig; karg>	<скупой>
1161	TO LEND	lend	11.61	to lend	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:lend_(159035)		to lend	<<prestar>>		<prêter>	<emprestar>	<leihen; borgen (lehnen)>	<давать в долг>
1162	TO BORROW	borrow	11.62	to borrow	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:borrow_(7569)		to borrow	<<pedir prestado>>		<emprunter>	<pedir emprestado>	<borgen; leihen; ent-lehnen>	<занимать>
1163	TO OWE	owe	11.63	to owe	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:owe_(1511021)		to owe	<<deber>>		<devoir>	<dever>	<schuld-ig sein; schuld-en>	<быть должным>
1164	THE DEBT	debt	11.64	the debt	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:debt_(843)		debt	<<deuda>>		<dette>	<dívida>	<schuld>	<долг>
1165	TO PAY	pay	11.65	to pay	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:pay_(336535)		to pay	<<pagar>>	http://www.omegawiki.org/DefinedMeaning:bezahlen_(624824)	<payer>	<pagar>	<(be)zahlen>	<платить>
1166	THE BILL	bill	11.66	the bill	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:conto_(468867)		bill	<<calcul, cuenta>>		<compte>	<conta>	<rechnung>	<счет>
1167	THE TAX	tax	11.69	the tax	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:tax_(3714)		tax	<<impuesto, tributo>>		<taxe, impôt>	<imposto, taxa>	<steuer>	<налог>
1168	TO HIRE	hire	11.77	to hire	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:rent_(362921)		to hire	<<alquilar, emplear>>		<louer>	<alugar>	<mieten; dingen; anstellen>	<нанимать, брать на прокат>
1169	THE WAGES	wages	11.78	the wages	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:salary_(487077)		wages	<<salario, sueldo>>		<salaire>	<salário>	<lohn; sold; be-zahlung>	<заработная плата>
1170	TO EARN	earn	11.79	to earn	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:earn_(339161)		to earn	<<ganar (dinero)>>		<gagner>	<ganhar>	<ver-dienen>	<зарабатывать>
1171	TO BUY	buy	11.81	to buy	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:buy_(8061)		to buy	<<comprar>>		<acheter>	<comprar>	<kaufen>	<покупать>
1172	TO SELL	sell	11.82	to sell	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:sell_(6439)		to sell	<<vender>>		<vendre>	<vender>	<ver-kaufen>	<продавать>
1173	TO TRADE	trade	11.83	to trade or barter	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:trade_(economic)_(3812)		to trade or barter	<<trocar>>	www.omegawiki.org/DefinedMeaning:exchange_(506398)	<échange>	<trocar>	<handeln>	<торговля, обмен>
1174	TO BARTER	barter	11.83	to trade or barter	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:barter_(1511024)		to trade or barter	<<trocar>>		<échange>	<trocar>	<handeln>	<торговля, обмен>
1175	THE MERCHANT	merchant	11.84	the merchant	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:merchant_(470229)		merchant	<<comerciante>>		<marchand, commerçant>	<negociante>	<kauf-mann; händler>	<купец, торговец>
1176	THE MARKET	market	11.85	the market	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:market_(2276)		market	<<mercado>>		<marché>	<mercado>	<markt>	<рынок, базар>
1177	THE SHOP	shop	11.86	the shop/store	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:shop_(3409)		shop/store	<<tienda, almacen>>		<boutique, magasin>	<loja>	<laden; geschäft>	<магазин>
1178	THE STORE	store	11.86	the shop/store	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:store_(341452)		shop/store	<<tienda, almacen>>		<boutique, magasin>	<loja>	<laden; geschäft>	<магазин>
1179	THE PRICE	price	11.87	the price	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:price_(2959)		price	<<precio>>		<prix>	<preço>	<preis>	<цена>
1180	EXPENSIVE	expensive	11.88	expensive	Adjective	Possession	http://www.omegawiki.org/DefinedMeaning:expensive_(6036)		expensive	<<caro (costoso)>>		<cher>	<caro>	<teuer>	<дорогой>
1181	CHEAP	cheap	11.89	cheap	Adjective	Possession	http://www.omegawiki.org/DefinedMeaning:cheap_(8184)		cheap	<<barato>>	http://www.omegawiki.org/DefinedMeaning:crummy_(1171283)	<bon marché>	<barato>	<billig; wohlfeil>	<дешевый>
1182	TO SHARE	share	11.91	to share	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:share_(374731)		to share	<<repartir>>		<partager>	<distribuir, compartilhar>	<austeilen>	<распределять>
1183	TO WEIGH	weigh	11.92	to weigh	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:pesar_(478489)		to weigh	<<pesar>>		<peser>	<pesar>	<wiegen>	<взвешивать, весить>
1184	FOR FREE	for free	11.99901	for free	Adverb	Possession	http://www.omegawiki.org/DefinedMeaning:gratuitement_(1262281)		for free	-		-	-	-	-
1185	THE CARD	card	11.99902	the card	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:card_(6378)		card	-		-	-	-	-
1186	THE GIFT	gift	11.99903	the gift	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:gift_(5611)		gift	-		-	-	-	-
1187	THE PROPERTY	property	11.99904	the property	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:property_(435478)		property	-		-	-	-	-
1188	THE STRING INSTRUMENT	string instrument	11.99905	the string instrument	Noun	Possession	http://www.omegawiki.org/DefinedMeaning:chordofoon_(400958)		string instrument	-		-	-	-	-
1189	TO BE WORTH	be worth	11.99906	to be worth	Verb	Possession	http://www.omegawiki.org/DefinedMeaning:etmek_(1381836)		to be worth	-		-	-	-	-
1190	THE RECEIVE	receive	11.99907	to receive	Noun	Possession	?		to receive	-		-	-	-	-
1191	AFTER	after	12.01	after	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:after_(6945)		after	-		-	-	-	-
1192	BEHIND	behind	12.011	behind	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:after_(6945)		behind	-		-	-	-	-
1193	IN	in	12.012	in	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:in_(6077)		in	-		-	-	-	-
1194	AT	at	12.013	at	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:at_(6078)		at	-		-	-	-	-
1195	BESIDE	beside	12.02	beside	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:beside_(752575)		beside	-		-	-	-	-
1196	DOWN	down	12.03	down	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:down_(5797)		down	-		-	-	-	-
1197	BEFORE	before	12.04	before	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:before_(8159)		before	-		-	-	-	-
1198	IN FRONT OF	in front of	12.041	in front of	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:before_(8160)		in front of	-		-	-	-	-
1199	INSIDE	inside	12.05	inside	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:inside_(6571)		inside	-		-	-	-	-
1200	OUTSIDE	outside	12.06	outside	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:outside_(342558)		outside	-		-	-	-	-
1201	UNDER	under	12.07	under	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:under_(6199)		under	-		-	-	-	-
1202	UP	up	12.08	up	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:up_(6531)		up	-		-	-	-	-
1203	ABOVE	above	12.081	above	Function word	Spatial relations	http://www.omegawiki.org/DefinedMeaning:above_(7064)		above	-		-	-	-	-
1204	THE PLACE	place	12.11	the place	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:place_(337267)		place	<<lugar, sitio>>		<endroit, place, lieu>	<espaço, lugar>	<stelle; ort; platz>	<место>
1205	TO PUT	put	12.12	to put	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:put_(429615)		to put	<<poner>>		<mettre>	<pôr>	<setzen; stellen; legen>	<положить>
1206	TO SIT	sit	12.13	to sit	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:sit_(6022)		to sit	<<sentar>>		<s'asseoir>	<sentar-se>	<sitzen>	<сидеть>
1207	TO LIE DOWN	lie down	12.14	to lie down	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:lie_down_(1425860)		to lie down	<<acostarse, echarse>>		<se coucher>	<deitar-se>	<liegen>	<ложиться>
1208	TO STAND	stand	12.15	to stand	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:stand_(6053)		to stand	<<poner(se) de pie>>		<se tenir debout>	<estar em pé, ficar em pé>	<stehen>	<стоять>
1209	TO REMAIN	remain	12.16	to remain	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:blijven_(423795)		to remain	<<quedar>>		<rester, demeurer, attendre>	<ficar>	<bleiben; warten>	<оставаться>
1210	THE REMAINS	remains	12.17	the remains	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:body_(357288)		remains	<<sobras>>	http://www.omegawiki.org/DefinedMeaning:ashes_(6079)	<reste>	<restos>	<bleiben>	<остатки>
1211	TO GATHER	gather	12.21	to gather	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:congregate_(7643)		to gather	<<recoger, reunir>>		<recueillir, rassembler>	<colecionar, reunir>	<sammeln (lesen)>	<собирать>
1212	TO PICK UP	pick up	12.212	to pick up	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:pick_up_(1511027)		to pick up	<<recoger>>		<ramasser>	<captar>	<aufheben; abholen>	<подбирать, поднимать>
1213	TO PILE UP	pile up	12.213	to pile up	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:accumulare_(646056)		to pile up	<<amontonar>>		<entasser>	<empilhar>	<aufhäufen; auftürmen>	<накоплять, нагромождать>
1214	TO JOIN	join	12.22	to join	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:add_(7069)		to join	<<juntar>>		<unir>	<juntar, unir>	<ver-binden; fügen; ver-einigen>	<соединять, объединять>
1215	TO SEPARATE	separate	12.23	to separate	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:separate_(5883)		to separate	<<separar, apartar>>		<séparer>	<separar>	<scheiden; trennen>	<отделять>
1216	TO DIVIDE	divide	12.232	to divide	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:dividir_(486237)		to divide	<<dividir>>		<diviser>	<dividir>	<teilen; trennen>	<делить>
1217	TO OPEN	open	12.24	to open	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:abrir_(513017)		to open	<<abrir>>		<ouvrir>	<abrir, aberto>	<öffnen; auf-machen>	<открывать>
1218	TO SHUT	shut	12.25	to shut	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:close_(448880)		to shut	<<cerrar>>		<fermer>	<fechar>	<schliessen; zu-machen>	<закрывать>
1219	TO COVER	cover	12.26	to cover	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:cover_(342543)		to cover	<<cubrir>>		<couvrir>	<cobrir>	<decken>	<покрывать>
1220	TO HIDE	hide	12.27	to hide	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:hide_(161806)		to hide	<<esconder>>		<cacher, dissimuler>	<esconder>	<ver-bergen; ver-stecken; ver-hehlen>	<прятать, скрывать>
1221	HIGH	high	12.31	high	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:long_(5562)		high	<<alto>>	http://www.omegawiki.org/DefinedMeaning:tall_(335942), http://www.omegawiki.org/DefinedMeaning:high_(342616)	<haut>	<alto, elevado>	<hoch>	<высоко>
1222	LOW	low	12.32	low	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:low_(336887)		low	<<bajo>>		<bas>	<baixo>	<niedrig>	<низко>
1223	THE TOP	top	12.33	the top	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:culmine_(709258)		top	<<cima>>		<haut, sommet>	<cume, topo>	<spitze; gipfel; das obere>	<вершина, макушка>
1224	THE BOTTOM	bottom	12.34	the bottom	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:bottom_(334481)		bottom	<<fondo>>	http://www.omegawiki.org/DefinedMeaning:bottom_(366521)	<fond>	<fundo>	<boden>	<дно, низ>
1225	THE END (SPATIAL)	end	12.35	the end(1)	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:end_(340747)		end(1)	<<final>>		<bout, extrémité>	<extremidade, fim, ponta>	<ende>	<конец>
1226	POINTED	pointed	12.352	pointed	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:pointed_(1511031)		pointed	<<puntiagudo>>		<pointu>	<afiado, agudo>	<spitze>	<остроконечный>
1227	THE EDGE	edge	12.353	the edge	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:border_(366432)		edge	<<borde, orilla, margen>>		<bord, orée>	<beira, borda>	<schneide; schärfe; kante; rand>	<край>
1228	THE SIDE	side	12.36	the side	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:page_(333652)		side	<<lado, costado>>		<côte>	<lado>	<seite>	<сторона>
1229	THE MIDDLE	middle	12.37	the middle	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:medio_(475332)		middle	<<medio, centro>>		<milieu, centre>	<meio, centro>	<mittler; mittel; zentrum>	<середина, центр>
1230	RIGHT (SIDE)	right	12.41	right(1)	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:right_(436024)		right(1)	<<derecha>>		<droite>	<direita>	<recht>	<правая (сторона)>
1231	LEFT	left	12.42	left	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:lengks_(1499731)		left	<<izquierda>>		<gauche>	<esquerda>	<link>	<левая (сторна)>
1232	NEAR	near	12.43	near	Adverb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:cercano_(869106)		near	<<cerca>>		<près>	<perto, próximo>	<nah(e)>	<рядом>
1233	FAR	far	12.44	far	Adverb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:far_(5997)		far	<<lejos>>		<loin>	<longe>	<fern; weit>	<далеко>
1234	THE EAST	east	12.45	the east	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:east_(8131)		east	<<este (punto cardinal), levante>>		<est, orient>	<leste, este>	<osten>	<восток>
1235	THE WEST	west	12.46	the west	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:west_(7537)		west	<<oeste, poniente>>		<ouest, occident>	<oeste>	<westen>	<запад>
1236	THE NORTH	north	12.47	the north	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:north_(6550)		north	<<norte>>		<nord>	<norte>	<norden>	<север>
1237	THE SOUTH	south	12.48	the south	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:south_(6542)		south	<<sur>>		<sud>	<sul>	<süden>	<юг>
1238	TO GROW	grow	12.53	to grow	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:grow_(154737)		to grow	<<crecer>>		<grandir, croître, pousser>	<crescer>	<wachsen>	<расти>
1239	TO MEASURE	measure	12.54	to measure	Verb	Spatial relations	http://www.omegawiki.org/DefinedMeaning:medir_(626882)		to measure	<<medir>>		<mesurer>	<medir>	<messen>	<мерить, измерять>
1240	THE FATHOM	fathom	12.541	the fathom	Noun	Spatial relations	http://www.omegawiki.org/DefinedMeaning:fathom_(1153477)		fathom	<<braza (medida)>>		<brasse (mesure)>	<palmo, braça>	<um/ über spannen; abmessen>	<пядь, морская сажень>
1241	BIG	big	12.55	big	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:pion_(5437)		big	<<grande>>		<grand, gros>	<grande>	<gross>	<большой>
1242	SMALL	small	12.56	small	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:small_(5509)		small	<<chico, pequeño>>		<petit>	<pequeno>	<klein>	<маленький>
1243	LONG	long	12.57	long	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:big_(5438)		long	<<largo>>		<long>	<comprido>	<lang>	<длинный>
1244	TALL	tall	12.58	tall	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:tall_(335942)		tall	<<alto>>		<grand>	<alto>	<gross>	<высокий>
1245	SHORT	short	12.59	short	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:court_(6746)		short	<<corto>>		<court>	<curto>	<kurz>	<короткий>
1246	WIDE	wide	12.61	wide	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:other_(5502)		wide	<<ancho, amplio>>		<large>	<largo>	<breit>	<широкий>
1247	NARROW	narrow	12.62	narrow	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:narrow_(5566)		narrow	<<angosto, estrecho>>		<étroit>	<estreito>	<schmal; eng>	<узкий>
1248	THICK	thick	12.63	thick	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:wide_(5503)		thick	<<grueso>>		<épais>	<grosso>	<dick>	<толстый>
1249	THIN	thin	12.65	thin	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:thin_(5990)		thin	<<delgado>>		<mince>	<fino, delgado>	<dünn>	<тонкий>
1250	DEEP	deep	12.67	deep	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:deep_(6535)		deep	<<profundo, hondo>>		<profond>	<fundo>	<tief>	<глубокий>
1251	SHALLOW	shallow	12.68	shallow	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:shallow_(1404411)		shallow	<<bajo, poco profundo>>		<peu profond>	<raso, baixo>	<seicht; nicht tief; flach>	<мелкий>
1252	FLAT	flat	12.71	flat	Adjective	Spatial relations	http://www.omegawiki.org/DefinedMeaning:flat_(6680)		flat	<<plano>>		<plat>	<plano, chato>	<flach; platt>	<плоский>
