International Journal of American Linguistics	International Journal of American Linguistics	Samarrai1961,Rea1958,Gudschinsky1973,Jacobsen1962,Fortescue1985,Sapir1953,Ramer1996,Samarrai1959,Troike1969,Shiro1961,Swadesh1955a,Swadesh1965,Swadesh1952a,Swadesh1952e,Swadesh1952f,Swadesh1955,Swadesh1954,Swadesh1950,Miranda1959,Taylor1958,Taylor1959,Swadesh1953c,Swadesh1953b,Swadesh1953a,Swadesh1953d,Turner1972,Hockett1954,Voegelin1985,Kroeber1955,Kroeber1960b,Kroeber1961,Hymes1959,Hymes1957,Manaster1996a,Hale1958,Saenz2006,Dyen1971,Hill1981,Gudschinsky1956
International Journal of Applied Mathematics and Computer Science	International Journal of Applied Mathematics and Computer Science	Blazewicz2009
International Journal of Corpus Linguistics	International Journal of Corpus Linguistics	Tseng2005
International Journal of Humanities and Arts Computing	International Journal of Humanities and Arts Computing	Yang2009
Isis	Isis	Cannon1960
Italienische Studien	Italienische Studien	Geisler1994
J Biol Chem	Journal of Biological Chemistry	Hoffmeister2005,Atteia2006,Torrents2006
JOURNAL OF BIOSCIENCES	Journal of Biosciences	Shukla2005
JOURNAL OF COMPUTATIONAL BIOLOGY	Journal of Computational Biology	Bonet2006
JOURNAL OF INDO-EUROPEAN STUDIES	Journal of Indo-European Studies	Klejn2008
JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT	Journal of Statistical Mechanics	Petroni2008
Journal of Aesthetic Education	Journal of Aesthetic Education	Winner1989
Journal of Anhui Agricultural University	Journal of Anhui Agricultural University	Zhou2011
Journal of Anthropological Research	Journal of Anthropological Research	Aberle1984
Journal of Applied Probability	Journal of Applied Probability	Barron1970
Journal of Automated Reasoning	Journal of Automated Reasoning	Brooks2007
Journal of Biomedical Informatics	Journal of Biomedical Informatics	Phillips2006
Journal of Chinese Linguistics	Journal of Chinese Linguistics	Chen2006,Pan1991,Wang2006c
Journal of Chinese linguistics	Journal of Chinese Linguistics	Ting1991,Norman1991
Journal of Classification	Journal of Classification	Batagelj1995
Journal of Communication and Computer	Journal of Communication and Computer	Delmestri2010
Journal of Computational Biology	Journal of Computational Biology	Wang1994
Journal of East Asian Linguistics	Journal of East Asian Linguistics	Hsu2009,Hsu2003,Feng1996
Journal of Historical Linguistics	Journal of Historical Linguistics	Longobardi2013
Journal of Indo-European Studies (JIES)	Journal of Indo-European Studies	Blazek2007
Journal of Japanese Studies	Journal of Japanese Studies	Miller1976
Journal of Language Relationship	Journal of Language Relationship	Fleischhauer2009,Ivanov2009,Turchin2010,Starostin2010,Starostin2009,Starostin2009a
